***********************************
*    Row   * Instance * m_Hits.m_ *
*        0 *      176 * 2.5231142 *
*        0 *      177 * 1.2053936 *
*        0 *      178 * 2.3091780 *
*        0 *      179 * 4.8356565 *
*        0 *      180 * 3.8367848 *
*        0 *      181 * 0.1035790 *
*        0 *      182 * 1.4373620 *
*        0 *      183 * 6.6137795 *
*        0 *      184 * 4.7339430 *
*        0 *      185 * 3.7849717 *
*        0 *      186 * 1.9971323 *
*        0 *      187 * 0.2810861 *
*        0 *      188 * 1.6585936 *
*        0 *      189 * 1.4632457 *
*        0 *      190 * 11.671972 *
*        0 *      191 * 0.0095980 *
*        0 *      192 * 0.3761842 *
*        0 *      193 * 0.0046045 *
*        0 *      194 * 0.4836523 *
*        0 *      195 * 0.2907046 *
*        0 *      196 * 0.0274877 *
*        0 *      197 * 0.0002947 *
*        0 *      198 * 0.0147840 *
*        0 *      199 * 0.0002817 *
*        0 *      200 * 0.2008963 *
*        0 *      201 * 0.0975107 *
*        0 *      202 * 2.3448787 *
*        0 *      203 * 2.8609920 *
*        0 *      204 * 0.8778525 *
*        0 *      205 * 1.7706991 *
*        0 *      206 * 2.5326543 *
*        0 *      207 * 0.7082945 *
*        0 *      208 * 1.4931844 *
*        0 *      209 * 1.9698181 *
*        0 *      210 * 12.546099 *
*        0 *      211 * 0.7683313 *
*        0 *      212 * 0.1318112 *
*        0 *      213 * 1.3305690 *
*        0 *      214 * 0.7626457 *
*        0 *      215 * 7.1148587 *
*        0 *      216 * 2.2719413 *
*        0 *      217 * 0.2139640 *
*        0 *      218 * 2.8515441 *
*        0 *      219 * 6.0074288 *
*        0 *      220 * 0.4547758 *
*        0 *      221 * 1.1092417 *
*        0 *      222 * 2.7040394 *
*        0 *      223 * 1.3343695 *
*        0 *      224 * 0.8205302 *
*        0 *      225 * 0.2814919 *
*        0 *      226 * 0.8978315 *
*        0 *      227 * 1.1861085 *
*        0 *      228 * 0.6938543 *
*        0 *      229 * 2.0030032 *
*        0 *      230 * 1.3302192 *
*        0 *      231 * 2.4908143 *
*        0 *      232 * 0.0412860 *
*        0 *      233 * 0.1083606 *
*        0 *      234 * 0.1148757 *
*        0 *      235 * 0.0395664 *
*        0 *      236 * 0.2198462 *
*        0 *      237 * 0.9465391 *
*        0 *      238 * 0.4492111 *
*        0 *      239 * 0.0690253 *
*        0 *      240 * 0.0720557 *
*        0 *      241 * 0.7514342 *
*        0 *      242 * 0.8907571 *
*        0 *      243 * 0.3132087 *
*        0 *      244 * 0.6179387 *
*        0 *      245 * 0.7554912 *
*        0 *      246 * 2.4536149 *
*        0 *      247 * 1.7611699 *
*        0 *      248 * 0.0034413 *
*        0 *      249 * 1.0955932 *
*        0 *      250 * 2.5423970 *
*        0 *      251 * 1.1725007 *
*        0 *      252 * 0.9342101 *
*        0 *      253 * 2.1842029 *
*        0 *      254 * 2.0484584 *
*        0 *      255 * 0.4655094 *
*        0 *      256 * 0.0157689 *
*        0 *      257 * 2.0291022 *
*        0 *      258 * 2.8269378 *
*        0 *      259 * 0.5959626 *
*        0 *      260 * 1.0279466 *
*        0 *      261 * 1.9119797 *
*        0 *      262 * 3.6518697 *
*        0 *      263 * 0.6139990 *
*        0 *      264 *  1.364658 *
*        0 *      265 * 1.2040962 *
*        0 *      266 * 2.4030156 *
*        0 *      267 * 0.8882262 *
*        0 *      268 * 0.0447212 *
*        0 *      269 * 2.6930498 *
*        0 *      270 * 0.9300323 *
*        0 *      271 * 1.1234675 *
*        0 *      272 * 4.0945858 *
*        0 *      273 * 2.5758443 *
*        0 *      274 * 1.4313004 *
*        0 *      275 * 0.0333097 *
*        0 *      276 * 0.1538666 *
*        0 *      277 * 0.3863939 *
*        0 *      278 * 0.9816971 *
*        0 *      279 * 0.3251781 *
*        0 *      280 * 0.0109403 *
*        0 *      281 * 2.3142332 *
*        0 *      282 * 0.2221613 *
*        0 *      283 * 0.0151984 *
*        0 *      284 * 0.0217098 *
*        0 *      285 * 0.6024496 *
*        0 *      286 * 0.0486471 *
*        0 *      287 * 0.9739836 *
*        0 *      288 * 0.0009233 *
*        0 *      289 * 0.5155408 *
*        0 *      290 * 0.2779240 *
*        0 *      291 * 0.0065789 *
*        0 *      292 * 0.0796084 *
*        0 *      293 * 0.0244351 *
*        0 *      294 * 0.0674881 *
*        0 *      295 * 0.4618810 *
*        0 *      296 * 0.9108626 *
*        0 *      297 * 0.7627786 *
*        0 *      298 * 0.8732951 *
*        0 *      299 * 0.8633359 *
*        0 *      300 * 1.1866436 *
*        0 *      301 * 0.3337155 *
*        0 *      302 * 0.5496610 *
*        0 *      303 * 4.3774388 *
*        0 *      304 * 1.6408210 *
*        0 *      305 * 0.0406713 *
*        0 *      306 * 0.0495781 *
*        0 *      307 * 1.2650223 *
*        0 *      308 * 1.6400988 *
*        0 *      309 * 1.8104809 *
*        0 *      310 * 0.9914242 *
*        0 *      311 * 0.1752937 *
*        0 *      312 * 1.4304017 *
*        0 *      313 * 0.3073792 *
*        0 *      314 * 2.8808444 *
*        0 *      315 * 0.9339733 *
*        0 *      316 * 0.0287267 *
*        0 *      317 * 1.2308348 *
*        0 *      318 * 1.4226336 *
*        0 *      319 * 0.7679478 *
*        0 *      320 * 1.2583721 *
*        0 *      321 * 0.9898722 *
*        0 *      322 * 0.0214238 *
*        0 *      323 * 0.1645869 *
*        0 *      324 * 0.0788071 *
*        0 *      325 * 0.8276343 *
*        0 *      326 * 0.4921192 *
*        0 *      327 * 0.0255801 *
*        0 *      328 * 2.0866408 *
*        0 *      329 * 0.1562333 *
*        0 *      330 * 0.4485207 *
*        0 *      331 * 0.0587844 *
*        0 *      332 * 1.2588230 *
*        0 *      333 * 0.1162616 *
*        0 *      334 * 0.9958790 *
*        0 *      335 * 1.5203917 *
*        0 *      336 * 0.7300029 *
*        0 *      337 * 0.2423531 *
*        0 *      338 * 0.9889651 *
*        0 *      339 * 0.7414202 *
*        0 *      340 * 0.9356556 *
*        0 *      341 * 7.0740710 *
*        0 *      342 * 0.7102635 *
*        0 *      343 * 0.9466249 *
*        0 *      344 * 0.6696594 *
*        0 *      345 * 0.1487906 *
*        0 *      346 * 0.1064993 *
*        0 *      347 * 0.3326232 *
*        0 *      348 * 0.3220909 *
*        0 *      349 * 1.3966609 *
*        0 *      350 * 0.9712623 *
*        0 *      351 * 0.0869326 *
*        0 *      352 * 0.0332746 *
*        0 *      353 * 2.2491408 *
*        0 *      354 * 0.3929623 *
*        0 *      355 * 0.5722090 *
*        0 *      356 * 3.1738364 *
*        0 *      357 * 0.0028296 *
*        0 *      358 * 0.1634346 *
*        0 *      359 * 1.5342772 *
*        0 *      360 * 0.1853093 *
*        0 *      361 *  5.046102 *
*        0 *      362 * 4.0432163 *
*        0 *      363 * 0.7115473 *
*        0 *      364 * 1.9233119 *
*        0 *      365 * 0.1190130 *
*        0 *      366 * 1.2588570 *
*        0 *      367 * 0.5755394 *
*        0 *      368 * 0.0520533 *
*        0 *      369 * 0.6675930 *
*        0 *      370 * 0.6546228 *
*        0 *      371 * 0.4164250 *
*        0 *      372 * 2.6841789 *
*        0 *      373 * 0.7507429 *
*        0 *      374 * 0.0773926 *
*        0 *      375 * 0.0376739 *
*        0 *      376 * 0.9460185 *
*        0 *      377 * 0.3021182 *
*        0 *      378 * 0.0395187 *
*        0 *      379 * 0.0642807 *
*        0 *      380 * 0.1373492 *
*        0 *      381 * 0.2014352 *
*        0 *      382 * 0.1005528 *
*        0 *      383 * 0.0380178 *
*        0 *      384 * 0.1054263 *
*        0 *      385 * 2.2013966 *
*        0 *      386 * 0.4721641 *
*        0 *      387 * 0.0095731 *
*        0 *      388 * 2.5859288 *
*        0 *      389 *  2.864713 *
*        0 *      390 * 0.9687922 *
*        0 *      391 * 1.7622577 *
*        0 *      392 * 0.4056955 *
*        0 *      393 * 2.8601541 *
*        0 *      394 * 1.0727271 *
*        0 *      395 * 0.5652875 *
*        0 *      396 * 0.2645910 *
*        0 *      397 * 0.0008685 *
*        0 *      398 * 0.8796487 *
*        0 *      399 * 0.0214885 *
*        0 *      400 * 1.3002729 *
*        0 *      401 * 1.9141530 *
*        0 *      402 * 2.6759345 *
*        0 *      403 * 1.7226367 *
*        0 *      404 * 0.0010269 *
*        0 *      405 * 0.0474234 *
*        0 *      406 * 0.0145809 *
*        0 *      407 * 0.0998264 *
*        0 *      408 * 1.1164248 *
*        0 *      409 * 0.0171027 *
*        0 *      410 * 1.8358598 *
*        0 *      411 * 0.8658402 *
*        0 *      412 * 0.7217343 *
*        0 *      413 * 0.3186533 *
*        0 *      414 * 0.1093927 *
*        0 *      415 * 0.9372711 *
*        0 *      416 * 1.4852032 *
*        0 *      417 * 0.6585112 *
*        0 *      418 * 0.6902285 *
*        0 *      419 * 1.7388915 *
*        0 *      420 * 1.7222384 *
*        0 *      421 * 0.4899835 *
*        0 *      422 * 0.0321815 *
*        0 *      423 * 0.1569389 *
*        0 *      424 * 0.1298146 *
*        0 *      425 * 0.1128064 *
*        0 *      426 * 0.2821731 *
*        0 *      427 * 1.2066332 *
*        0 *      428 * 0.7246131 *
*        0 *      429 * 0.8737986 *
*        0 *      430 * 0.1739874 *
*        0 *      431 * 0.0040334 *
*        0 *      432 * 0.0016807 *
*        0 *      433 * 0.0011657 *
*        0 *      434 * 0.8557223 *
*        0 *      435 * 2.6496850 *
*        0 *      436 * 0.1840031 *
*        0 *      437 * 0.2985004 *
*        0 *      438 * 0.5759341 *
*        0 *      439 * 2.2606370 *
*        0 *      440 * 1.4388272 *
*        0 *      441 * 1.7868148 *
*        0 *      442 * 0.3150599 *
*        0 *      443 * 1.1828994 *
*        0 *      444 * 3.1782649 *
*        0 *      445 * 0.0276218 *
*        0 *      446 * 0.6705767 *
*        0 *      447 * 1.6508723 *
*        0 *      448 * 0.7426541 *
*        0 *      449 * 0.1380935 *
*        0 *      450 * 0.0787377 *
*        0 *      451 * 0.3342525 *
*        0 *      452 * 1.0617424 *
*        0 *      453 * 2.3107926 *
*        0 *      454 * 0.1730883 *
*        0 *      455 * 0.8734022 *
*        0 *      456 * 0.0771247 *
*        0 *      457 * 0.0574051 *
*        0 *      458 * 0.1212772 *
*        0 *      459 * 0.1466136 *
*        0 *      460 * 2.8186931 *
*        0 *      461 * 0.2052927 *
*        0 *      462 * 1.4631673 *
*        0 *      463 * 1.6478659 *
*        0 *      464 * 1.1049192 *
*        0 *      465 * 1.8930893 *
*        0 *      466 * 0.4805691 *
*        0 *      467 * 0.1587481 *
*        0 *      468 * 0.1369672 *
*        0 *      469 * 0.7423944 *
*        0 *      470 * 2.5675189 *
*        0 *      471 * 0.5639455 *
*        0 *      472 * 1.2657346 *
*        0 *      473 * 0.9542090 *
*        0 *      474 * 0.8399354 *
*        0 *      475 * 1.6311369 *
*        0 *      476 * 0.4942409 *
*        0 *      477 * 1.9507110 *
*        0 *      478 * 1.4815134 *
*        0 *      479 * 0.0016754 *
*        0 *      480 * 1.0193408 *
*        0 *      481 * 0.6593117 *
*        0 *      482 * 0.1310272 *
*        0 *      483 * 0.3309767 *
*        0 *      484 * 0.2695776 *
*        0 *      485 * 2.0846924 *
*        0 *      486 * 0.6014558 *
*        0 *      487 * 1.3955246 *
*        0 *      488 * 0.7629008 *
*        0 *      489 * 1.0110978 *
*        0 *      490 * 1.7125247 *
*        0 *      491 * 1.4490205 *
*        0 *      492 * 2.9485653 *
*        0 *      493 * 0.2549187 *
*        0 *      494 * 0.1208411 *
*        0 *      495 * 0.1011314 *
*        0 *      496 * 0.0913332 *
*        0 *      497 * 0.1577373 *
*        0 *      498 * 0.1329467 *
*        0 *      499 * 0.1206174 *
*        0 *      500 * 0.6534945 *
*        0 *      501 * 1.8436355 *
*        0 *      502 * 2.2397865 *
*        0 *      503 * 0.5039763 *
*        0 *      504 * 0.1719251 *
*        0 *      505 * 1.3850298 *
*        0 *      506 * 0.8053998 *
*        0 *      507 * 0.9917315 *
*        0 *      508 * 0.0443114 *
*        0 *      509 * 0.0725998 *
*        0 *      510 * 0.2603993 *
*        0 *      511 * 0.1918068 *
*        0 *      512 * 0.2764011 *
*        0 *      513 * 0.1563440 *
*        0 *      514 * 1.8385869 *
*        0 *      515 * 0.0825866 *
*        0 *      516 * 0.1782902 *
*        0 *      517 * 5.8765769 *
*        0 *      518 * 1.4533530 *
*        0 *      519 * 0.1084375 *
*        0 *      520 * 0.3449414 *
*        0 *      521 * 1.3470308 *
*        0 *      522 * 0.7275368 *
*        0 *      523 * 0.6679973 *
*        0 *      524 * 0.2331890 *
*        0 *      525 * 0.4848028 *
*        0 *      526 * 1.0539901 *
*        0 *      527 * 0.4880429 *
*        0 *      528 * 1.4048848 *
*        0 *      529 * 1.0180380 *
*        0 *      530 * 17.277501 *
*        0 *      531 * 0.0250107 *
*        0 *      532 * 1.0413092 *
*        0 *      533 * 0.4674616 *
*        0 *      534 * 0.3917217 *
*        0 *      535 * 0.4492242 *
*        0 *      536 * 0.9474352 *
*        0 *      537 * 1.0488136 *
*        0 *      538 * 0.7844496 *
*        0 *      539 * 1.8071286 *
*        0 *      540 * 1.5703429 *
*        0 *      541 * 0.2477486 *
*        0 *      542 * 0.3265615 *
